DayOfWeek,Hour,Minute,Requests, Requests Length
6,15,4,67.0,335000
6,15,5,58.0,290000
6,15,6,49.0,245000
6,15,7,36.0,180000
6,15,8,56.0,280000
6,15,9,41.0,205000
6,15,10,41.0,205000
6,15,11,30.0,150000
6,15,12,58.0,290000
6,15,13,28.0,140000
6,15,14,45.0,225000
6,15,15,52.0,260000
6,15,16,59.0,295000
6,15,17,43.0,215000
6,15,18,54.0,270000
6,15,19,60.0,300000
6,15,20,40.0,200000
6,15,21,66.0,330000
6,15,22,70.0,350000
6,15,23,63.0,315000
6,15,24,42.0,210000
6,15,25,47.0,235000
6,15,26,50.0,250000
6,15,27,41.0,205000
6,15,28,50.0,250000
6,15,29,54.0,270000
6,15,30,56.0,280000
6,15,31,42.0,210000
6,15,32,39.0,195000
6,15,33,58.0,290000
6,15,34,78.0,390000
6,15,35,51.0,255000
6,15,36,60.0,300000
6,15,37,60.0,300000
6,15,38,49.0,245000
6,15,39,42.0,210000
6,15,40,47.0,235000
6,15,41,80.0,400000
6,15,42,51.0,255000
6,15,43,38.0,190000
6,15,44,57.0,285000
6,15,45,61.0,305000
6,15,46,61.0,305000
6,15,47,65.0,325000
6,15,48,59.0,295000
6,15,49,70.0,350000
6,15,50,54.0,270000
6,15,51,68.0,340000
6,15,52,75.0,375000
6,15,53,71.0,355000
6,15,54,67.0,335000
6,15,55,84.0,420000
6,15,56,78.0,390000
6,15,57,52.0,260000
6,15,58,49.0,245000
6,15,59,55.0,275000
6,16,0,52.0,260000
6,16,1,40.0,200000
6,16,2,35.0,175000
6,16,3,56.0,280000
6,16,4,53.0,265000
6,16,5,30.0,150000
6,16,6,51.0,255000
6,16,7,58.0,290000
6,16,8,51.0,255000
6,16,9,58.0,290000
6,16,10,51.0,255000
6,16,11,55.0,275000
6,16,12,39.0,195000
6,16,13,56.0,280000
6,16,14,23.0,115000
6,16,15,27.0,135000
6,16,16,29.0,145000
6,16,17,87.0,435000
6,16,18,57.0,285000
6,16,19,59.0,295000
6,16,20,56.0,280000
6,16,21,51.0,255000
6,16,22,57.0,285000
6,16,23,40.0,200000
6,16,24,23.0,115000
6,16,25,49.0,245000
6,16,26,27.0,135000
6,16,27,38.0,190000
6,16,28,63.0,315000
6,16,29,32.0,160000
6,16,30,18.0,90000
6,16,31,51.0,255000
6,16,32,56.0,280000
6,16,33,67.0,335000
6,16,34,37.0,185000
6,16,35,44.0,220000
6,16,36,64.0,320000
6,16,37,58.0,290000
6,16,38,78.0,390000
6,16,39,48.0,240000
6,16,40,68.0,340000
6,16,41,65.0,325000
6,16,42,53.0,265000
6,16,43,69.0,345000
6,16,44,50.0,250000
6,16,45,61.0,305000
6,16,46,68.0,340000
6,16,47,87.0,435000
6,16,48,64.0,320000
6,16,49,72.0,360000
6,16,50,69.0,345000
6,16,51,67.0,335000
6,16,52,45.0,225000
6,16,53,54.0,270000
6,16,54,56.0,280000
6,16,55,49.0,245000
6,16,56,64.0,320000
6,16,57,53.0,265000
6,16,58,50.0,250000
6,16,59,84.0,420000
6,17,0,71.0,355000
6,17,1,53.0,265000
6,17,2,63.0,315000
6,17,3,45.0,225000
6,17,4,67.0,335000
6,17,5,76.0,380000
6,17,6,64.0,320000
6,17,7,63.0,315000
6,17,8,55.0,275000
6,17,9,45.0,225000
6,17,10,84.0,420000
6,17,11,73.0,365000
6,17,12,39.0,195000
6,17,13,75.0,375000
6,17,14,56.0,280000
6,17,15,79.0,395000
6,17,16,46.0,230000
6,17,17,70.0,350000
6,17,18,60.0,300000
6,17,19,66.0,330000
6,17,20,67.0,335000
6,17,21,43.0,215000
6,17,22,71.0,355000
6,17,23,63.0,315000
6,17,24,73.0,365000
6,17,25,64.0,320000
6,17,26,74.0,370000
6,17,27,66.0,330000
6,17,28,79.0,395000
6,17,29,47.0,235000
6,17,30,85.0,425000
6,17,31,62.0,310000
6,17,32,75.0,375000
6,17,33,81.0,405000
6,17,34,67.0,335000
6,17,35,71.0,355000
6,17,36,66.0,330000
6,17,37,48.0,240000
6,17,38,50.0,250000
6,17,39,45.0,225000
6,17,40,53.0,265000
6,17,41,92.0,460000
6,17,42,95.0,475000
6,17,43,61.0,305000
6,17,44,92.0,460000
6,17,45,72.0,360000
6,17,46,57.0,285000
6,17,47,70.0,350000
